                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3719,                 3.6068,                 1.5232,                0.42415,                0.09137,                0.07482,                0.04549,                    nan,                    nan,                    nan,               0.067037,             0.00033296,             0.00033296
                      2,                  1.423,                 3.0215,                 1.5876,                0.26712,                 0.1586,                0.11184,                0.06735,                    nan,                    nan,                    nan,                0.03403,              0.0006597,              0.0006597
                      3,                  1.419,                  2.886,                  1.586,                0.24495,                 0.1803,                 0.1347,                0.07958,                    nan,                    nan,                    nan,              0.0010168,             0.00097984,             0.00097984
                      4,                 1.3943,                 2.7443,                 1.5683,                0.24856,                0.19565,                0.14495,                0.09186,                    nan,                    nan,                    nan,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.3596,                 2.6475,                 1.5433,                0.35892,                0.18772,                0.16264,                0.10079,                    nan,                    nan,                    nan,              0.0009703,              0.0009703,              0.0009703
                      6,                  1.327,                 2.5251,                 1.5218,                0.34808,                0.21978,                0.18252,                0.11724,                    nan,                    nan,                    nan,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.2984,                 2.4474,                 1.4966,                0.35908,                0.24539,                0.20621,                0.13572,                    nan,                    nan,                    nan,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.2945,                 2.3688,                 1.4845,                0.35375,                0.23849,                0.19962,                0.13741,                    nan,                    nan,                    nan,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.2779,                 2.3271,                 1.4713,                0.42522,                0.21829,                0.20553,                0.14141,                    nan,                    nan,                    nan,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.2553,                 2.2683,                 1.4638,                0.39279,                0.25581,                0.22058,                0.15453,                    nan,                    nan,                    nan,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.2485,                 2.2354,                 1.4484,                0.35572,                0.24896,                0.22703,                0.15611,                    nan,                    nan,                    nan,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.2429,                 2.2022,                 1.4475,                0.44502,                0.23651,                0.22568,                0.16108,                    nan,                    nan,                    nan,               0.000901,               0.000901,               0.000901
                     13,                 1.2303,                  2.147,                 1.4326,                0.47242,                 0.2494,                0.22489,                0.15649,                    nan,                    nan,                    nan,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.2131,                 2.1226,                 1.4226,                0.40635,                0.25655,                0.23368,                0.16157,                    nan,                    nan,                    nan,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.2132,                 2.0964,                 1.4206,                 0.3818,                0.27162,                0.24176,                0.17202,                    nan,                    nan,                    nan,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.2086,                 2.0678,                 1.4172,                0.43328,                0.25521,                0.24729,                0.17309,                    nan,                    nan,                    nan,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.2022,                 2.0306,                 1.4099,                0.41649,                0.25124,                0.24087,                0.16727,                    nan,                    nan,                    nan,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.1882,                 2.0005,                 1.4012,                0.46502,                0.27406,                0.25384,                0.17455,                    nan,                    nan,                    nan,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.1909,                 1.9757,                 1.3973,                0.51172,                0.24562,                0.25028,                0.17707,                    nan,                    nan,                    nan,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.1727,                 1.9344,                 1.3837,                0.41873,                0.26343,                0.24929,                0.17893,                    nan,                    nan,                    nan,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.1649,                 1.9293,                 1.3811,                0.48873,                0.27054,                 0.2573,                0.18103,                    nan,                    nan,                    nan,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.1609,                 1.9107,                 1.3798,                0.50023,                0.26329,                0.24795,                 0.1769,                    nan,                    nan,                    nan,               0.000802,               0.000802,               0.000802
                     23,                 1.1455,                 1.8841,                 1.3711,                0.44668,                0.26773,                0.25362,                0.18215,                    nan,                    nan,                    nan,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.1559,                 1.8789,                 1.3752,                0.50192,                 0.2689,                 0.2656,                0.18938,                    nan,                    nan,                    nan,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.1485,                 1.8501,                 1.3676,                0.53474,                0.25468,                0.26503,                0.19066,                    nan,                    nan,                    nan,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.1444,                 1.8476,                 1.3644,                0.50188,                0.25643,                0.26157,                0.18874,                    nan,                    nan,                    nan,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.1409,                 1.8091,                 1.3576,                0.46229,                0.27629,                 0.2614,                0.18751,                    nan,                    nan,                    nan,              0.0007525,              0.0007525,              0.0007525
                     28,                  1.134,                 1.8027,                 1.3575,                0.50761,                0.26342,                0.26424,                0.19549,                    nan,                    nan,                    nan,              0.0007426,              0.0007426,              0.0007426
                     29,                   1.13,                  1.783,                 1.3472,                0.45907,                0.27212,                0.26581,                 0.1913,                    nan,                    nan,                    nan,              0.0007327,              0.0007327,              0.0007327
                     30,                 1.1152,                 1.7645,                 1.3418,                0.42063,                0.29278,                 0.2709,                0.19696,                    nan,                    nan,                    nan,              0.0007228,              0.0007228,              0.0007228
                     31,                 1.1197,                 1.7526,                 1.3438,                0.52447,                0.27472,                0.27255,                0.19756,                    nan,                    nan,                    nan,              0.0007129,              0.0007129,              0.0007129
                     32,                  1.113,                  1.737,                 1.3336,                0.53597,                0.26333,                0.26827,                0.19833,                    nan,                    nan,                    nan,               0.000703,               0.000703,               0.000703
                     33,                 1.0996,                 1.7119,                 1.3322,                0.48634,                0.27111,                0.27277,                0.19586,                    nan,                    nan,                    nan,              0.0006931,              0.0006931,              0.0006931
                     34,                 1.1048,                 1.7083,                 1.3278,                 0.4689,                0.29013,                0.27798,                0.20371,                    nan,                    nan,                    nan,              0.0006832,              0.0006832,              0.0006832
                     35,                 1.0951,                 1.6803,                 1.3254,                0.45302,                0.28961,                0.27179,                0.20353,                    nan,                    nan,                    nan,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.0908,                 1.6825,                 1.3202,                  0.476,                0.30292,                0.27745,                0.20525,                    nan,                    nan,                    nan,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.0882,                 1.6593,                 1.3188,                0.47363,                0.28484,                0.27603,                 0.2033,                    nan,                    nan,                    nan,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.0897,                  1.655,                 1.3114,                0.46154,                0.28692,                0.27268,                0.19586,                    nan,                    nan,                    nan,              0.0006436,              0.0006436,              0.0006436
                     39,                 1.0744,                 1.6198,                 1.3093,                0.46252,                0.29445,                0.27674,                0.20206,                    nan,                    nan,                    nan,              0.0006337,              0.0006337,              0.0006337
                     40,                 1.0695,                 1.6218,                 1.3086,                0.42758,                 0.3025,                0.27863,                0.20215,                    nan,                    nan,                    nan,              0.0006238,              0.0006238,              0.0006238
                     41,                 1.0702,                 1.6123,                 1.3038,                0.44736,                0.29607,                0.27628,                 0.2018,                    nan,                    nan,                    nan,              0.0006139,              0.0006139,              0.0006139
                     42,                 1.0747,                 1.5921,                 1.3055,                0.50672,                0.28307,                0.27665,                0.20626,                    nan,                    nan,                    nan,               0.000604,               0.000604,               0.000604
                     43,                 1.0752,                 1.5818,                 1.3056,                0.48596,                0.28361,                0.27519,                  0.205,                    nan,                    nan,                    nan,              0.0005941,              0.0005941,              0.0005941
                     44,                 1.0645,                 1.5672,                 1.2978,                0.45326,                0.29989,                0.28383,                0.21021,                    nan,                    nan,                    nan,              0.0005842,              0.0005842,              0.0005842
                     45,                  1.061,                 1.5599,                 1.2924,                0.40955,                0.29962,                0.28139,                0.20978,                    nan,                    nan,                    nan,              0.0005743,              0.0005743,              0.0005743
                     46,                 1.0503,                 1.5369,                 1.2881,                0.51224,                0.27405,                0.27971,                0.20766,                    nan,                    nan,                    nan,              0.0005644,              0.0005644,              0.0005644
                     47,                 1.0581,                 1.5341,                  1.287,                0.44123,                0.29763,                0.28184,                0.21059,                    nan,                    nan,                    nan,              0.0005545,              0.0005545,              0.0005545
                     48,                  1.045,                 1.5194,                  1.283,                0.43453,                0.28613,                0.27835,                0.20713,                    nan,                    nan,                    nan,              0.0005446,              0.0005446,              0.0005446
                     49,                 1.0403,                 1.4956,                  1.278,                0.42625,                0.29701,                0.27862,                0.20674,                    nan,                    nan,                    nan,              0.0005347,              0.0005347,              0.0005347
                     50,                 1.0398,                 1.4995,                 1.2775,                0.42953,                0.30017,                 0.2777,                0.20801,                    nan,                    nan,                    nan,              0.0005248,              0.0005248,              0.0005248
                     51,                 1.0298,                 1.4877,                 1.2732,                0.45239,                0.28777,                0.27393,                0.20372,                    nan,                    nan,                    nan,              0.0005149,              0.0005149,              0.0005149
                     52,                 1.0336,                 1.4683,                 1.2699,                  0.455,                0.29214,                0.27305,                 0.2028,                    nan,                    nan,                    nan,               0.000505,               0.000505,               0.000505
                     53,                 1.0215,                 1.4579,                 1.2684,                0.43435,                0.29488,                0.27515,                0.20512,                    nan,                    nan,                    nan,              0.0004951,              0.0004951,              0.0004951
                     54,                 1.0353,                 1.4612,                 1.2672,                0.41777,                0.30387,                0.27208,                0.20187,                    nan,                    nan,                    nan,              0.0004852,              0.0004852,              0.0004852
                     55,                 1.0222,                 1.4433,                 1.2606,                0.39126,                0.31541,                 0.2742,                 0.2027,                    nan,                    nan,                    nan,              0.0004753,              0.0004753,              0.0004753
                     56,                 1.0196,                 1.4172,                 1.2522,                0.41989,                0.30384,                0.27662,                0.20537,                    nan,                    nan,                    nan,              0.0004654,              0.0004654,              0.0004654
                     57,                 1.0109,                 1.4086,                 1.2536,                0.43208,                0.30074,                0.27597,                0.20419,                    nan,                    nan,                    nan,              0.0004555,              0.0004555,              0.0004555
                     58,                 1.0118,                 1.4025,                 1.2532,                0.39022,                0.31256,                0.27623,                0.20428,                    nan,                    nan,                    nan,              0.0004456,              0.0004456,              0.0004456
                     59,                 1.0001,                   1.38,                 1.2441,                0.38956,                0.32101,                0.27611,                0.20459,                    nan,                    nan,                    nan,              0.0004357,              0.0004357,              0.0004357
                     60,                 1.0006,                 1.3824,                 1.2455,                0.40064,                 0.3149,                0.27672,                0.20459,                    nan,                    nan,                    nan,              0.0004258,              0.0004258,              0.0004258
                     61,                0.99834,                 1.3591,                 1.2417,                0.41854,                0.30751,                0.27599,                0.20499,                    nan,                    nan,                    nan,              0.0004159,              0.0004159,              0.0004159
                     62,                0.99734,                  1.363,                 1.2406,                0.39636,                0.31349,                0.27661,                 0.2052,                    nan,                    nan,                    nan,               0.000406,               0.000406,               0.000406
                     63,                0.98856,                 1.3463,                 1.2307,                0.39955,                0.31874,                0.27783,                0.20572,                    nan,                    nan,                    nan,              0.0003961,              0.0003961,              0.0003961
                     64,                0.99011,                 1.3325,                 1.2363,                0.44616,                0.31156,                0.27888,                0.20617,                    nan,                    nan,                    nan,              0.0003862,              0.0003862,              0.0003862
                     65,                0.98267,                  1.319,                 1.2326,                0.44958,                0.31177,                0.27877,                0.20656,                    nan,                    nan,                    nan,              0.0003763,              0.0003763,              0.0003763
                     66,                0.97893,                 1.3112,                 1.2267,                0.45882,                0.31159,                0.27931,                0.20716,                    nan,                    nan,                    nan,              0.0003664,              0.0003664,              0.0003664
                     67,                0.97464,                 1.3012,                 1.2254,                0.48003,                0.31029,                0.27944,                0.20677,                    nan,                    nan,                    nan,              0.0003565,              0.0003565,              0.0003565
                     68,                0.97496,                 1.2852,                 1.2226,                0.48818,                0.30647,                0.27993,                0.20678,                    nan,                    nan,                    nan,              0.0003466,              0.0003466,              0.0003466
                     69,                0.96912,                 1.2812,                 1.2187,                0.48103,                   0.31,                0.28029,                0.20734,                    nan,                    nan,                    nan,              0.0003367,              0.0003367,              0.0003367
                     70,                 0.9603,                 1.2639,                 1.2133,                0.44316,                0.31538,                0.28127,                0.20861,                    nan,                    nan,                    nan,              0.0003268,              0.0003268,              0.0003268
                     71,                0.96671,                 1.2633,                 1.2195,                0.46673,                0.31568,                0.28247,                0.20954,                    nan,                    nan,                    nan,              0.0003169,              0.0003169,              0.0003169
                     72,                0.95859,                 1.2351,                 1.2131,                 0.4626,                0.31597,                0.28151,                0.20954,                    nan,                    nan,                    nan,               0.000307,               0.000307,               0.000307
                     73,                0.95806,                 1.2286,                 1.2104,                0.46592,                0.31513,                0.28191,                0.20934,                    nan,                    nan,                    nan,              0.0002971,              0.0002971,              0.0002971
                     74,                0.95216,                  1.223,                 1.2085,                0.46365,                0.31297,                0.28233,                  0.209,                    nan,                    nan,                    nan,              0.0002872,              0.0002872,              0.0002872
                     75,                0.93816,                 1.2058,                 1.1974,                0.46774,                0.31345,                0.28294,                0.20942,                    nan,                    nan,                    nan,              0.0002773,              0.0002773,              0.0002773
                     76,                0.94024,                 1.1898,                 1.1962,                0.46426,                0.31294,                0.28195,                0.20879,                    nan,                    nan,                    nan,              0.0002674,              0.0002674,              0.0002674
                     77,                 0.9327,                 1.1793,                  1.193,                0.46911,                0.31092,                0.28225,                0.20827,                    nan,                    nan,                    nan,              0.0002575,              0.0002575,              0.0002575
                     78,                0.93357,                 1.1825,                 1.1932,                0.46945,                0.31154,                0.28255,                 0.2083,                    nan,                    nan,                    nan,              0.0002476,              0.0002476,              0.0002476
                     79,                0.93135,                 1.1758,                 1.1913,                 0.4656,                0.31093,                0.28206,                 0.2087,                    nan,                    nan,                    nan,              0.0002377,              0.0002377,              0.0002377
                     80,                 0.9246,                 1.1595,                 1.1879,                0.46663,                0.31127,                0.27878,                0.20736,                    nan,                    nan,                    nan,              0.0002278,              0.0002278,              0.0002278
                     81,                0.92656,                 1.1526,                 1.1862,                0.46408,                0.31487,                0.27777,                0.20641,                    nan,                    nan,                    nan,              0.0002179,              0.0002179,              0.0002179
                     82,                0.91763,                 1.1403,                 1.1824,                0.46193,                0.31566,                0.27803,                0.20673,                    nan,                    nan,                    nan,               0.000208,               0.000208,               0.000208
                     83,                0.90661,                 1.1271,                 1.1781,                0.46442,                0.31552,                0.27808,                0.20668,                    nan,                    nan,                    nan,              0.0001981,              0.0001981,              0.0001981
                     84,                0.90461,                 1.1093,                 1.1728,                0.47386,                0.30942,                0.28014,                0.20732,                    nan,                    nan,                    nan,              0.0001882,              0.0001882,              0.0001882
                     85,                0.90783,                 1.1133,                 1.1776,                0.48027,                0.30773,                0.27995,                0.20759,                    nan,                    nan,                    nan,              0.0001783,              0.0001783,              0.0001783
                     86,                0.89774,                 1.0963,                 1.1703,                0.48305,                0.30866,                0.27986,                0.20736,                    nan,                    nan,                    nan,              0.0001684,              0.0001684,              0.0001684
                     87,                0.89878,                 1.0809,                 1.1652,                0.48668,                0.30694,                0.27972,                0.20872,                    nan,                    nan,                    nan,              0.0001585,              0.0001585,              0.0001585
                     88,                0.88927,                 1.0583,                 1.1617,                0.49002,                0.30622,                0.27813,                0.20788,                    nan,                    nan,                    nan,              0.0001486,              0.0001486,              0.0001486
                     89,                0.89094,                 1.0711,                 1.1629,                0.48193,                0.30807,                0.27801,                0.20757,                    nan,                    nan,                    nan,              0.0001387,              0.0001387,              0.0001387
                     90,                0.88626,                 1.0569,                 1.1593,                0.48523,                0.30569,                 0.2776,                0.20782,                    nan,                    nan,                    nan,              0.0001288,              0.0001288,              0.0001288
                     91,                0.85665,                 0.8748,                 1.1385,                0.48643,                0.30755,                0.27777,                0.20793,                    nan,                    nan,                    nan,              0.0001189,              0.0001189,              0.0001189
                     92,                0.83513,                0.83408,                 1.1264,                0.48914,                0.30801,                0.27831,                0.20808,                    nan,                    nan,                    nan,               0.000109,               0.000109,               0.000109
                     93,                0.82451,                0.81493,                 1.1166,                0.49235,                0.30635,                0.27835,                0.20806,                    nan,                    nan,                    nan,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                0.81557,                0.79262,                 1.1149,                0.49654,                0.30522,                0.27845,                0.20765,                    nan,                    nan,                    nan,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                0.81207,                0.77528,                 1.1098,                0.49625,                0.30561,                0.27888,                0.20816,                    nan,                    nan,                    nan,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                0.80435,                0.76419,                 1.1046,                0.49811,                0.30569,                0.27874,                0.20843,                    nan,                    nan,                    nan,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                0.79424,                0.75308,                 1.0965,                0.49961,                0.30506,                0.27861,                0.20881,                    nan,                    nan,                    nan,               5.95e-05,               5.95e-05,               5.95e-05
